question,contexts,ground_truth,evolution_type,metadata,episode_done
What issues did the user experience with their internet after the transition to MagentaZuhause Regio?,"['Source URL: https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-MagentaZuhause-Regio-quot-manuell-quot/td-p/6969278/jump-to/first-unread-message\nSubject: Umstellung MagentaZuhause Regio ""manuell""\nContent: Tach zusammen,heute war bei mir die Umstellung.Schon morgens ging das Telefon nicht, der Rest schon.Ich bekam die SMS, Internet ging immer noch.Nachdem ich von der Arbeit zurück war klickte auf den Link in der SMS und wählte die Anleitung FritzBox manuelle Umstellung.Da war nur die']","The user experienced issues with their telephone not working after the transition to MagentaZuhause Regio, while the internet was still functioning initially.",simple,[{}],True
What options does the telecommunications provider offer for television packages?,"[""s menu, allowing for language flexibility.\n\nThis summary provides key insights into the TV packages offered, suitable for potential customers evaluating their options in telecommunications products.\nThe image contains information about various television packages offered by a telecommunications provider. Here's a summary of the relevant details:\n\n### TV Packages:\n\n1. **TV-PAKET DOKU** (Documentary Package)\n   - Channels:\n     - 245 HD: Animal Planet\n     - 246 HD: Crime + Investigation\n     - 24""]","The telecommunications provider offers various television packages, including the **TV-PAKET DOKU** (Documentary Package) which features channels such as Animal Planet and Crime + Investigation.",simple,[{}],True
What is the format of the channels available in Standard Definition (SD)?,"['ilability and adjust their settings accordingly for a better viewing experience. \n\nThis summary captures the essential details regarding the channels and the service offering outlined in the image.\nThe image provides a list of available television channels, including their respective channel numbers and formats (HD or SD). Here are the key details:\n\n### Overview\n- **Format**: Channels are available in High Definition (HD) and Standard Definition (SD).\n  \n### Channel Listings\n- **Selected HD Chan']",The answer to given question is not present in context,simple,[{}],True
What features does the content platform Megathek offer to users?,"['tures**:\n   - Options include viewing trailers, saving titles, and additional information about the content.\n\nThis content is useful for users looking to navigate renting and purchasing options for telecommunication video services.\nThe image provides instructions related to accessing a ""Megathek,"" which appears to be a content platform for telecommunication products. Here’s a summary of the relevant information:\n\n### Megathek Instructions:\n1. **Accessing Megathek**:\n   - Press the **Play** butto']","The content platform Megathek offers features such as viewing trailers, saving titles, and providing additional information about the content.",simple,[{}],True
What are the age restrictions for accessing content that requires a user PIN?,"['-----------------------------|\n| **For Adults**       | Ab 18       | Required        | User PIN required from 06:00 to 23:00 |\n|                      | Ab 16       | User PIN needed from 06:00 to 22:00   |\n|                      | Ab 12       | User PIN       |\n|                      | Ab 6        | User PIN       |\n|                      | Ab 0        | User PIN       |\n| **Film, Series**     | Erwachsene   | Always Required  |\n|                      | Ab 18       | User PIN needed from 06:00']","The age restrictions for accessing content that requires a user PIN are as follows: For adults, a user PIN is required for ages 18 and above from 06:00 to 23:00, for ages 16 and above from 06:00 to 22:00, and for ages 12, 6, and 0, a user PIN is always required. For films and series, a user PIN is always required for adults.",simple,[{}],True
Was bringt MagentaEINS-Kunden während der Mobile Happy Hour in der Schweiz?,"['t.\nJa, in den Ländern der EU, UK und in der Schweiz gilt die Mobile Happy Hour ebenfalls.\nDie Mobile Happy Hour ist nicht doppelt buchbar. Als MagentaEINS Kunde mit MagentaZuhause Festnetzvertrag genießen Sie zusätzlich täglich 1 Stunde die Happy Hour und als Kunde mit MagentaZuhause und MagentaTV 2x 1 Stunde täglich.\nDie Restzeit deiner Mobile Happy Hour können Sie ganz einfach in der MeinMagenta App einsehen.\n\nQuestion: Schon Mobilfunk-Kunde?\nAnswer: Während der Mobile Happy Hour können Sie un']",MagentaEINS-Kunden genießen während der Mobile Happy Hour in der Schweiz zusätzlich täglich 1 Stunde die Happy Hour.,reasoning,[{}],True
"What daily perks come with MagentaMobil Basic from Aug 1, 2024?","['rifen MagentaMobil Basic bis M, die seit dem 1. August 2024 buchbar sind, können Sie täglich eine Stunde unbegrenzt surfen oder zwei Stunden, wenn MagentaTV Bestandteil Ihres Festnetz-Anschlusses ist.Sie aktivieren sich Ihre Mobile Happy Hour einfach und schnell über dieMeinMagenta App.\n• Unbegrenztes DatenvolumenMagentaMobil L und L Young (ab 6. September 2019) erhalten deutschlandweit unbegrenzte Datennutzung.\n• Doppeltes DatenvolumenAlle Young Tarife (ab 6. September 2019) erhalten doppeltes']","Mit MagentaMobil Basic können Sie täglich eine Stunde unbegrenzt surfen oder zwei Stunden, wenn MagentaTV Bestandteil Ihres Festnetz-Anschlusses ist.",reasoning,[{}],True
Which channels are in the WOW SERIES with the Premium plan?,"['ries Standard options, allowing access to linear Sky TV channels.\n\n### Availability:\n- The WOW options can be accessed on **MagentaTV One** and **MagentaTV Stick**.\n\n### Featured Channels (WOW SERIES):\n- **Sky Showcase**\n- **Sky One**\n- **Sky Crime**\n- **Sky Atlantic**\n- **Sky Documentaries**\n- **Universal TV**\n- **Discovery Channel**\n- **Cartoon Network**\n- **Nick Jr.**, among others.\n\n### Additional Information:\n- Some channels may have availability restrictions based on scheduling.\n- Users ca', 'atures:\n1. **WOW Live Sports**: Access live sports through Sky Sport under the WOW Premium plan, which includes access to linear Sky TV channels.\n2. **WOW Movies & Series**: Availability of the latest movies and series as part of the WOW Movies & Series options, starting from October 25, 2023.\n3. **Standard Upgrade**: Customers who subscribe to WOW Premium receive an upgrade to the WOW Movies & Series Standard options, allowing access to linear Sky TV channels.\n\n### Availability:\n- The WOW optio']","The channels in the WOW SERIES with the Premium plan include Sky Showcase, Sky One, Sky Crime, Sky Atlantic, Sky Documentaries, Universal TV, Discovery Channel, Cartoon Network, and Nick Jr., among others.",multi_context,"[{}, {}]",True
What can Festnetzkunden do to transfer their number and switch to a MagentaMobil Tarif before contract end?,"['funknetze telefonieren\n\nQuestion: Sie sind Telekom Festnetzkunde?\nAnswer: Ihnen gefallen unsere attraktiven Preise für Haupt- und Zusatzkarten, aber Sie sind derzeit noch an Ihren aktuellen Anbieter gebunden?\nKein Problem! Lassen Sie sich einfach per E-Mail von uns erinnern.\nWussten Sie schon? Sie können bis zu 4 Monate vor Vertragsende die Rufnummer von Ihrem aktuellen Anbieter mitnehmen. Im Anschluss können Sie diese mit einer Haupt- oder Zusatzkarte in unserem neuen MagentaMobil Tarif nutzen.']",Festnetzkunden können bis zu 4 Monate vor Vertragsende die Rufnummer von ihrem aktuellen Anbieter mitnehmen und diese anschließend mit einer Haupt- oder Zusatzkarte in dem neuen MagentaMobil Tarif nutzen.,multi_context,[{}],True
What ist der Vorteil des Tarifs Magenta-Mobil-L in Bezug auf das Datenvolumen?,"['in Ihren Mobilfunkvertrag aufnehmen, wobei die ersten und folgenden Magenta-Mobil-Plus-Karten monatlich jeweils 19,95 Euro kosten. Je mehr Personen dem Vertrag beitreten, desto günstiger wird es insgesamt. Ein weiterer Vorteil des Magenta 1 Vorteils liegt in der Verdopplung des Datenvolumens für jede Haupt- und zusätzliche Magenta-Mobil-Plus-Karte. Beim Tarif Magenta-Mobil-L wird aus ursprünglichen 40 Gigabyte nicht nur 80, sondern unbegrenztes Datenvolumen. Zusätzlich erhalten alle Kunden eine']","Der Vorteil des Tarifs Magenta-Mobil-L liegt darin, dass das ursprüngliche Datenvolumen von 40 Gigabyte nicht nur auf 80 Gigabyte verdoppelt wird, sondern unbegrenztes Datenvolumen bietet.",simple,[{}],True
