question,contexts,ground_truth,evolution_type,metadata,episode_done
Wie kann ich mein Paket beim Versanddienstleister verfolgen?,"['Source URL: https://www.telekom.de/hilfe/vertrag-rechnung/vertrag/bestellung/paket-zustellung\n\nQuestion: An wen wende ich mich bei Fragen zu einer Paket-Zustellung?\nAnswer: Haben Sie z. B. ein Gerät bei uns bestellt, können Sie das Paket online mit der entsprechenden Sendungsnummer beim Versanddienstleister verfolgen. Die Sendungsnummer erhalten Sie per E-Mail oder SMS, sobald das Paket versandfertig ist.\nSollte Ihr Paket beschädigt sein oder Inhalte fehlen,kontaktierenSie uns.']","Sie können Ihr Paket online mit der entsprechenden Sendungsnummer beim Versanddienstleister verfolgen. Die Sendungsnummer erhalten Sie per E-Mail oder SMS, sobald das Paket versandfertig ist.",simple,[{}],True
What information is required for a Kündigung (cancellation) by mail to Telekom Deutschland GmbH?,"['ar anfügen.\n• Schriftlich per BriefMöchten Sie auf dem Postweg kündigen, dann nennen Sie uns bitte Ihren Namen und die Anschrift, die betreffende Rufnummer sowie die Kundennummer des Festnetz-Vertrags bzw. das Kundenkonto des Mobilfunk-Vertrags.Senden Sie den Brief an:\xa0Telekom Deutschland GmbH,\xa0Kundenservice,\xa053171 Bonn']","For a Kündigung (cancellation) by mail to Telekom Deutschland GmbH, you need to provide your name, address, the relevant phone number, and the customer number of the landline contract or the customer account of the mobile contract.",simple,[{}],True
What features make the MagentaTV One (2. Gen.) a premium TV-Box?,"['Source URL: https://www.telekom.de/magenta-tv/geraete/magenta-tv-one\n\nQuestion: Was ist die MagentaTV One (2. Gen.)?\nAnswer: Die MagentaTV One (2. Gen.) ist unsere Premium TV-Box, mit der wir Ihnen ein noch besseres TV-Erlebnis bieten möchten. Die Box lässt sich einfach sowie flexibel über WLAN oder LAN installieren und ist äußerst leistungsstark. Mit der hochwertig verarbeiteten Fernbedienung benutzen Sie das Gerät schnell und intuitiv. Die MagentaTV One (2. Gen.) ermöglicht Ihnen komfortabel Z']","Die MagentaTV One (2. Gen.) ist eine Premium TV-Box, die ein besseres TV-Erlebnis bietet, sich einfach und flexibel über WLAN oder LAN installieren lässt und äußerst leistungsstark ist. Sie verfügt über eine hochwertig verarbeitete Fernbedienung, die eine schnelle und intuitive Nutzung des Geräts ermöglicht.",simple,[{}],True
"What are the ways to watch MagentaTV, including streaming?",['Source URL: https://www.telekom.de/magenta-tv/tarife-und-optionen/magenta-tv-mit-app/geraete-uebersicht\n\nQuestion: Wie möchtest du MagentaTV schauen?\nAnswer: Streaming\nSmart TV\nMobil\nBrowser\nStreaming\nSmart TV\nMobil\nBrowser'],"The ways to watch MagentaTV include streaming, Smart TV, mobile, and browser.",simple,[{}],True
What is the default password setting for the D-Link DCS-2132L camera when it is in its factory state?,"['ndet, um beispielsweise auf das Web-Interface der Kamera oder auf den Videostream zuzugreifen. Sollte die Kamera kein solches Passwort haben oder ein einfaches Standardpasswort wie zum Beispiel ""admin"" oder""1234"" verwenden, dann wird im Einrichtungsassistenten das Setzen einessicheren Passwortes gefordert. Dies ist üblicherweise der Fall, wenn die Kamera im Werkszustand ist.Hinweis: Im Werkszustand ist bei derD-Link DCS-2132L,D-Link DCS-2330L,DCS-2670LundDCS-2530Lkein Passwort gesetzt.\nVerbinden']",Im Werkszustand ist bei der D-Link DCS-2132L kein Passwort gesetzt.,simple,[{}],True
What’s the penalty for ending a contract early?,"['Source URL: https://telekomhilft.telekom.de/t5/TV/Schadensersatz-bei-Miete-0-Euro/td-p/6973220/jump-to/first-unread-message\nSubject: Schadensersatz bei Miete 0.- Euro ?\nContent: Hallo,nach der Rücksendung\xa0 meiner gemieteten ONE Gen2 habe ich eine E-Mail mit folgendem Inhalt erhalten:"" MagentaTV One (2. Generation) Kündigung zum 10.10.2024Wir berechnen für die Restlaufzeit einen Schadenersatz.Die Summe von 11,45 Euro wird fällig, weil Sie den Vertrag vor Ende der Mindestvertragslaufzeit beendenmö']",The penalty for ending a contract early is a damage compensation of 11.45 Euro for the remaining contract period.,reasoning,[{}],True
Welche Schritte zur Online-Prüfung des Schadensstatus?,"['Versicherungsbedingungen (Abschnitt 3 der Allgemeinen Versicherungsbedingungen)\n\nQuestion: Wie kann ich den Status meines Schadensfalls überprüfen?\nAnswer: Besuchen Sie hierzu bitte die nachfolgende Internet-Adresse und melden Sie sich mit Ihren Benutzerinformationen an:https://telekom.assurant.de/insure-mymobile/schadensmeldungHier können Sie jederzeit den aktuellen Status Ihres Schadensfalls nachverfolgen.\n\nQuestion: Ist Zubehör im Versicherungsschutz enthalten?\nAnswer: Ja, sofern es bei dem']","Die Schritte zur Online-Prüfung des Schadensstatus sind, die Internet-Adresse https://telekom.assurant.de/insure-mymobile/schadensmeldung zu besuchen und sich mit Ihren Benutzerinformationen anzumelden. Dort können Sie jederzeit den aktuellen Status Ihres Schadensfalls nachverfolgen.",reasoning,[{}],True
Was braucht man für Internet-Telefonie bei der Telekom?,"['efonsignalen auch Internet über die Telefonleitung übertragen. Dadurch ist die sogenannte Internet-Telefonie möglich, bei der das Gespräch digitalisiert und einzelne Datenpakete verschickt werden. Um zu Hause diese Art der Telefonie zu benutzen, benötigen Sie neben der DSL- Verbindung auch einen IP-fähigen Router.\n\nQuestion: Welche Angebote für Festnetz-Tarife gibt es bei der Telekom?\nAnswer: Bei der Telekom haben Sie die Möglichkeit, zwischen verschiedenen Tarifen zu wählen, darunter:\nMit einer']","Um Internet-Telefonie bei der Telekom zu benutzen, benötigen Sie neben der DSL-Verbindung auch einen IP-fähigen Router.",multi_context,[{}],True
What search categories help navigate TV content and how are results organized?,"[':**\n   - The search function displays the history of the last four searches made.\n\n### Categories Available for Search:\n- Shows (Sendungen)\n- TV Channels (TV-Sender)\n- Actors (Schauspieler)\n- Films (Filme)\n\n### Search Results:\n- The results will show categories like channels, TV shows, and films with relevant items listed underneath.\n\nThis information is useful for users looking to navigate and utilize the search functionalities effectively on their device.\nThe image provides instructions for us', 'or YouTube content.\n\n### How to Search Effectively\n1. **Input Method**:\n   - Use the arrow keys and the OK button, or enter at least one character using the number keys on the remote control.\n   - Results will be displayed automatically as you type. The more characters entered, the more precise the search will become.\n\n2. **Search Results**:\n   - The search results are displayed in rows.\n   - Results can be sorted based on the input term into categories: Channels, TV, Films and Series, Persons,']","The search categories available for navigating TV content include Shows (Sendungen), TV Channels (TV-Sender), Actors (Schauspieler), and Films (Filme). The search results are organized into categories like channels, TV shows, and films, with relevant items listed underneath. Additionally, the search results are displayed in rows and can be sorted based on the input term into the specified categories.",multi_context,"[{}, {}]",True
"Which fiber type does the GF Modem 2 support, and what’s its max bandwidth?","['auf einen Chipsatz der PRX300-Familie (z.B. PRX321) von Intel/Maxlinear basieren. Es handelt sich dabeinichtum ein Standard SFP-Modul.\n- @t0bsen1337schrieb:ich habe jetzt schon des Öfteren gelesen dass das GF Modem 2 nicht XGS PON Kompatibel sei.Korrekt, das Glasfaser Modem 2 unterstützt ausschließlich GPON, kein XGS-PON.Ja, das Glasfaser Modem 2 kann für Bandbreiten bis 2 bzw. 2,5Gb/s (brutto) verwendet werden, wenn der Netzbetreiber das auf Basis von GPON anbietet. Die Telekom tut dies aber n', 'auf einen Chipsatz der PRX300-Familie (z.B. PRX321) von Intel/Maxlinear basieren. Es handelt sich dabeinichtum ein Standard SFP-Modul.\n- @t0bsen1337schrieb:ich habe jetzt schon des Öfteren gelesen dass das GF Modem 2 nicht XGS PON Kompatibel sei.Korrekt, das Glasfaser Modem 2 unterstützt ausschließlich GPON, kein XGS-PON.Ja, das Glasfaser Modem 2 kann für Bandbreiten bis 2 bzw. 2,5Gb/s (brutto) verwendet werden, wenn der Netzbetreiber das auf Basis von GPON anbietet. Die Telekom tut dies aber n']","Das Glasfaser Modem 2 unterstützt ausschließlich GPON und kann für Bandbreiten bis 2 bzw. 2,5 Gb/s (brutto) verwendet werden, wenn der Netzbetreiber dies auf Basis von GPON anbietet.",multi_context,"[{}, {}]",True
