question,contexts,ground_truth,evolution_type,metadata,episode_done
What role does the Johanniter-Unfall-Hilfe play in assisting diabetics during a hypoglycemic episode?,"['nd seine Krankheit genau kennen.\n\nQuestion: Wie kann die Safety Watch Diabetikern bei einer Unterzuckerung helfen?\nAnswer: Die Safety Watch kann hier mehr Sicherheit geben. Wenn es z. B.  zu einer Unterzuckerung kommt, kann über die SOS-Taste schnell Hilfe geholt werden. Entweder werden automatisch Angehörige oder Freunde angerufen. Oder auf Wunsch die Mitarbeiter der Johanniter-Unfall-Hilfe informiert, die die notwendige Hilfe organisieren.\n\nQuestion: Wie kann die Safety Watch für mehr Sicherhe']","Die Johanniter-Unfall-Hilfe wird informiert, um die notwendige Hilfe zu organisieren, wenn die Safety Watch bei einer Unterzuckerung aktiviert wird.",simple,[{}],True
What steps must be taken to book the Magenta Cloud L after canceling the current contract?,"['Source URL: https://telekomhilft.telekom.de/t5/MagentaCLOUD/Speichervolumen-kann-nicht-erhoeht-werden/td-p/6956726/jump-to/first-unread-message\nSubject: Speichervolumen kann nicht erhöht werden.\nContent: Hallo Magenta Team,ich möchte den Magenta Speicher erhöhen.\xa0 Ich sollte zuerst den aktuellen Vertrag (Magenta Cloud M) kündigen bevor ich das größere Volumen (Magenta Cloud L) buchen könnte.Nachdem ich dies tat, bekam ich die Anzeige, dass eine Buchung erst nach Ablauf der Vertragszeit möglich s']",The answer to given question is not present in context,simple,[{}],True
What sind die Preise für das iPhone 11 bei der Telekom?,"['Source URL: https://www.telekom.de/hilfe/geraete-zubehoer/handy-smartphone-tablet/apple/iphone/iphone-11-und-iphone-11-pro-und-iphone-11-pro-max/preise\n\nQuestion: Was kosten die Modelle iPhone 11, iPhone 11 Pro und iPhone 11 Pro Max bei der Telekom?\nAnswer: Die Preise finden Sie direkt in unserem Shop. Hier können Sie bequem die Angebote vergleichen.\nZum Shop']","Die Preise für das iPhone 11 bei der Telekom sind nicht direkt im Kontext angegeben, aber es wird erwähnt, dass die Preise im Shop zu finden sind, wo man die Angebote vergleichen kann.",simple,[{}],True
What sind die wichtigsten Aspekte von Kinder- und Jugendschutzlösungen im digitalen Raum?,"['enteam des Digital Schutzpakets berät Dich z. B. rund um das Thema Kinder- und Jugendschutzlösungen und gibt wertvolle Tipps wie Du Dich und Deine Familie in den sozialen Medien schützen kannst. Auch Cybermobbing ist ein relevantes Thema für Kinder und Jugendliche. Darunter fallen unter anderem Beleidigungen, Bloßstellungen oder Schikane über das Internet. Im Falle von Cybermobbing erhältst Du Soforthilfe und Unterstützung, um effektive\xa0Gegenmaßnahmen einzuleiten.\n\nQuestion: Was ist Identitätsdi']","Die wichtigsten Aspekte von Kinder- und Jugendschutzlösungen im digitalen Raum umfassen den Schutz vor Cybermobbing, Beleidigungen, Bloßstellungen und Schikane über das Internet. Es werden wertvolle Tipps gegeben, wie man sich und seine Familie in den sozialen Medien schützen kann, sowie Soforthilfe und Unterstützung im Falle von Cybermobbing, um effektive Gegenmaßnahmen einzuleiten.",simple,[{}],True
Welche Kunden können die Mobile Happy Hour nutzen?,"['Was ist die Mobile Happy Hour?\nAnswer: Während der Mobile Happy Hour können Sie unlimited surfen. Die Mobile Happy Hour ist täglich für 60 Minuten auf Ihrem Endgerät aktivierbar und gilt für die Hauptkarte und PlusKarten.\n\nQuestion: Welche Voraussetzungen muss ich erfüllen, um die Mobile Happy Hour zu erhalten?\nAnswer: Die Mobile Happy Hour erhalten ausschließlich Telekom Mobilfunk-Kunden mit MagentaEINS Vorteil in der aktuellen Tarifgeneration und den MagentaMobil PlusKarten. Kunden die zusätzl']",Die Mobile Happy Hour können ausschließlich Telekom Mobilfunk-Kunden mit MagentaEINS Vorteil in der aktuellen Tarifgeneration und den MagentaMobil PlusKarten nutzen.,simple,[{}],True
Was braucht man für die tägliche Mobile Happy Hour?,"['stion: Kann ich die Mobile Happy Hour verlängern?\nAnswer: Eine Verlängerung der Mobile Happy Hour ist nicht möglich, aber Sie können diese täglich buchen.\n\nQuestion: Wie kann meine PlusKarte die Mobile Happy Hour buchen?\nAnswer: PlusKarten Inhaber können ganz individuell ihre Mobile Happy Hour in der Mein Magenta App buchen. Dafür müssen Sie sich die App einfach herunterladen und sich mit Ihrer Handynummer in der App registrieren.\n\nQuestion: Kann ich die Mobile Happy Hour täglich buchen oder nur']",Die Antwort auf die gegebene Frage ist im Kontext nicht vorhanden,reasoning,[{}],True
What to do after logging into Telekom for 'Geräte und Verträge'?,"['ey+ Passwort vergessen sein, einfach über Disney+ ein neues Passwort für die genutze E-Maildresse zusenden lassen.Sollten die Verknüpfung nicht vorgenommen worden sein, so kann man im Benutzerkonto von MagentaTV diese Links auch nochmals aufrufen.Online im Browser im Telekom Konto anmelden und unter Geräte und Verträge den jeweilige gebuchten Dienst aufrufen.\n- Vielen Dank, übe Magenta TV hat es jetzt geklappt.']","After logging into Telekom for 'Geräte und Verträge', you can call up the respective booked service.",reasoning,[{}],True
How to get the Erwachsenen-PIN while following age laws?,"['Erwachsene   | Always Required  |\n|                      | Ab 18       | User PIN needed from 06:00 to 23:00   |\n|                      | Ab 16       | User PIN needed from 06:00 to 22:00   |\n\n### Additional Information\n- **PIN Query**: The query for the PIN is legally required.\n- **Website**: Users can register for the Erwachsenen-PIN for free at [www.telekom.de/erwachsenen-pin-einrichten](http://www.telekom.de/erwachsenen-pin-einrichten).\n\nThis system is put in place to ensure compliance with', 'ilable.\n\n### Obtaining the Erwachsenen-PIN\n- Users can obtain their Erwachsenen-PIN by providing proof of age with the ID verification system (ID-Pass).\n- Age verification is mandated by German youth media protection laws.\n\n### PIN Requirements by Age\n| Content Type          | Required Age | Adult PIN       | User PIN                     |\n|----------------------|--------------|-----------------|------------------------------|\n| **For Adults**       | Ab 18       | Required        | User PIN req']",Users can obtain their Erwachsenen-PIN by providing proof of age with the ID verification system (ID-Pass). Age verification is mandated by German youth media protection laws.,multi_context,"[{}, {}]",True
How to upgrade Magenta Cloud storage while managing the current contract?,"['Source URL: https://telekomhilft.telekom.de/t5/MagentaCLOUD/Speichervolumen-kann-nicht-erhoeht-werden/td-p/6956726/jump-to/first-unread-message\nSubject: Speichervolumen kann nicht erhöht werden.\nContent: Hallo Magenta Team,ich möchte den Magenta Speicher erhöhen.\xa0 Ich sollte zuerst den aktuellen Vertrag (Magenta Cloud M) kündigen bevor ich das größere Volumen (Magenta Cloud L) buchen könnte.Nachdem ich dies tat, bekam ich die Anzeige, dass eine Buchung erst nach Ablauf der Vertragszeit möglich s', 'Source URL: https://telekomhilft.telekom.de/t5/MagentaCLOUD/magentacloud-buchen/td-p/6959121/jump-to/first-unread-message\nSubject: magentacloud buchen\nContent: Liebe Community,weiß jemand, wie ich die MagentaCloud zu meinem bestehenden Telekom-Vertrag hinzubuchen kann? Wenn ich versuche, die MagentaCloud zu buchen, lande ich immer auf der Seite, auf der ich meine Kreditkarten-Info eingeben soll. Ich würde ja ganz gerne die MagentaCloud einfach zu meinem Vertrag dazubuchen, der wird ja sowieso je']","To upgrade Magenta Cloud storage while managing the current contract, you need to first cancel your existing contract (Magenta Cloud M) before you can book the larger volume (Magenta Cloud L).",multi_context,"[{}, {}]",True
What steps must be taken to book Magenta Cloud L after canceling the current contract?,"['Source URL: https://telekomhilft.telekom.de/t5/MagentaCLOUD/Speichervolumen-kann-nicht-erhoeht-werden/td-p/6956726/jump-to/first-unread-message\nSubject: Speichervolumen kann nicht erhöht werden.\nContent: Hallo Magenta Team,ich möchte den Magenta Speicher erhöhen.\xa0 Ich sollte zuerst den aktuellen Vertrag (Magenta Cloud M) kündigen bevor ich das größere Volumen (Magenta Cloud L) buchen könnte.Nachdem ich dies tat, bekam ich die Anzeige, dass eine Buchung erst nach Ablauf der Vertragszeit möglich s']",The answer to given question is not present in context,simple,[{}],True
