question,contexts,ground_truth,evolution_type,metadata,episode_done
What is the role of the bridge function when using Airties devices with WLAN-Mesh devices from other manufacturers?,"['Source URL: https://www.telekom.de/hilfe/geraete-zubehoer/heimnetzwerk-powerline-wlan/airties/airties-kompatibilitaet\n\nQuestion: Ist das Air 4920 kompatibel zu WLAN-Mesh-Geräten anderer Hersteller?\nAnswer: Wenn Sie Airties Geräte mit WLAN-Mesh-Geräten anderer Hersteller nutzen möchten, können Sie lediglich die herkömmliche Bridge- oder Repeater-Funktion nutzen, da es derzeit leider noch keinen herstellerübergreifenden Standard gibt.\n\nDie WLAN-Mesh-Funktion entfällt dann.']","The bridge function allows the use of Airties devices with WLAN-Mesh devices from other manufacturers, but it is limited to the conventional bridge or repeater function due to the lack of a manufacturer-independent standard.",simple,[{}],True
What options are available for accessing live sports content on the MagentaSport service?,"['### Key Features Highlighted:\n- The content includes options for live sports and on-demand viewing.\n- Users can experience unique live sports offerings and highlights.\n- The layout displays various highlights and additional packages available.\n\nThis summary captures the essential navigation steps and features related to accessing sports content on the device.\nThe image appears to be an informational page regarding MagentaSport, a service offered by Telekom for streaming live sports content. Here', '### Key Features Highlighted:\n- The content includes options for live sports and on-demand viewing.\n- Users can experience unique live sports offerings and highlights.\n- The layout displays various highlights and additional packages available.\n\nThis summary captures the essential navigation steps and features related to accessing sports content on the device.\nThe image appears to be an informational page regarding MagentaSport, a service offered by Telekom for streaming live sports content. Here']","The options available for accessing live sports content on the MagentaSport service include live sports and on-demand viewing, as well as unique live sports offerings and highlights.",simple,"[{}, {}]",True
What capabilities does WiFi 6 provide when used with a WiFi 5 router?,"['die Kombi AC-Router und AX-Access Point, dann am Ende ax-fähig?Ja .. weil der Repeater WiFi 6 macht.Und das Mesh würde sogar priorisiert versuchen die WiFi 6 Clients dahin zuschieben.\n- @ole258schrieb:Wenn ich einen WiFi 5-Router habe (z.B. Fritzbox 7520) und an diesen einen WiFi 6-Access Point (z.B. Speed Home WLAN) anschließe unddas WLAN der Fritzbox deaktiviere, in wie weit ist die Kombi dann WLAN ax-fähig?Vollständig, da ja der WiFi 4/5 AP (7520) deaktiviert und nur der WiFi 6 AP aktiv ist.']","The context does not provide specific capabilities of WiFi 6 when used with a WiFi 5 router. It mentions that the combination can be fully WiFi 6 capable if the WiFi 5 router is deactivated and only the WiFi 6 access point is active, but does not detail the capabilities.",simple,[{}],True
Welche Spiele spielt Deutschland bei der Fußball-EM 2024 und wann finden sie statt?,"['Wann spielt Deutschland bei der Fußball-EM 2024?\nAnswer: Deutschland trifft im Eröffnungsspiel der UEFA\xa0EURO\xa02024™ am Freitag, 14. Juni 2024 um 21 Uhr in München auf Schottland. Anschließend spielt das DFB-Team am Mittwoch, 19. Juni 2024 um 18 Uhr in Stuttgart gegen Ungarn. Das dritte und letzte Gruppenspiel der deutschen Nationalmannschaft gegen die Schweiz findet am Sonntag, 23. Juni 2024 um 21 Uhr in Frankfurt statt. Alle 51 Spiele der Fußball-EM 2024 werden live bei MagentaTV übertragen.\n\nQ']","Deutschland spielt bei der Fußball-EM 2024 im Eröffnungsspiel am Freitag, 14. Juni 2024 um 21 Uhr in München gegen Schottland. Am Mittwoch, 19. Juni 2024 um 18 Uhr spielt das DFB-Team in Stuttgart gegen Ungarn. Das dritte Gruppenspiel findet am Sonntag, 23. Juni 2024 um 21 Uhr in Frankfurt gegen die Schweiz statt.",simple,[{}],True
What function does the Sabotageschutz serve in the camera system?,"['robustere Bauweise und damit eine höhere IP-Schutzklasse (Staub- und Spritzwasserschutz) als Innenkameras.\n• SabotageschutzEin eingebauter Sabotageschutz löst sofort Alarm aus, wenn sich eine fremde Person an der Kamera zu schaffen macht.\n• EntfernungDie Entfernung zwischen dem Aufstellort der Kamera und der Magenta SmartHome Zentrale: Die Funkreichweiten unterscheiden sich je nach verwendetem Funkstandard der Kamera.\n• Montage- und AnschlussmöglichkeitenMagenta SmartHome unterstützt kabelgebund']","Der Sabotageschutz löst sofort Alarm aus, wenn sich eine fremde Person an der Kamera zu schaffen macht.",simple,[{}],True
Wie hoch ist die Mindestgebühr für MagentaEINS IP-Anschluss?,"['lte ich meinen for Friends Code und wie prüfe ich die Gültigkeit meines for Friends Codes?\nAnswer: Bitte wenden Sie sich zur Überprüfung der Gültigkeit bzw. zur Anforderung des for FriendsCods an Ihren bekannten Telekom Mitarbeiter. Dieser beauftragt bzw. prüft gerne für Sie Ihren for Friends Code.\n\nQuestion: Welche Voraussetzungen gelten für MagentaEINS für for Friends?\nAnswer: Es wird ein IP-basierter Festnetzanschluss mit einem monatlichen Grundpreis ab 16,96 € benötigt.\nIm Mobilfunk wird ein']",Die Antwort auf die gegebene Frage ist im Kontext nicht vorhanden,reasoning,[{}],True
Welche Funktionen hat die Mikrofon-Taste bei MagentaTV One (2. Gen.)?,"['ch wenn sie funktioniert). Zudem ist die Premium Fernbedienung nicht separat erhältlich, sondern ausschließlich bei einer MagentaTV One (2. Gen.) inklusive.\n\nQuestion: Wie kann ich den Magenta Sprachassistenten auf meiner MagentaTV One (2. Gen.) nutzen?\nAnswer: Einfach die Mikrofon-Taste der Fernbedienung drücken und sagen, was der Magenta Sprachassistent bei MagentaTV machen soll, z.B. „Suche die Tagesschau“, „Schalte auf RTL“, „Öffne Netflix“ u.v.m.Alle Sprachbefehle']",Die Antwort auf die gegebene Frage ist im Kontext nicht vorhanden,reasoning,[{}],True
Wie ändert man die Begrüßung und richtet Benachrichtigungen für neue Nachrichten auf der Telekom SprachBox ein?,"['Source URL: https://www.telekom.de/hilfe/internet-telefonie/telefonie/sprach-box/begruessung-aendern\n\nQuestion: Wie kann ich die Begrüßung auf meiner Telekom SprachBox ändern?\nAnswer: So ändern Sie die Begrüßung auf Ihrer SprachBox:\n• Voicemail AppInstallieren Sie dieVoicemail Appund melden Sie sich mit dem Telekom Login an. Unter dem Menü-Punkt ""Begrüßung"" können Sie einen fertigen Text auswählen oder über das ""+"" eine eigene Ansage hinzufügen.\n• TelefonischWählen Sie von Ihrem Festnetz-Anschlu', 'Source URL: https://www.telekom.de/hilfe/internet-telefonie/telefonie/sprach-box/benachrichtigungen\n\nQuestion: Wie werde ich über neue Nachrichten auf meiner Telekom SprachBox benachrichtigt?\nAnswer: Sie können sich über den Erhalt einer neuen Nachricht auf Ihrer SprachBox per Anruf und SMS informieren lassen. So können Sie die Einstellung vornehmen:\n• TelefoniecenterLoggen Sie sich imTelefoniecentermit dem Telekom Login ein und wählen Sie die entsprechende Rufnummer. Klicken Sie auf ""Weiter"" un']","So ändern Sie die Begrüßung auf Ihrer SprachBox: • Voicemail App Installieren Sie die Voicemail App und melden Sie sich mit dem Telekom Login an. Unter dem Menü-Punkt ""Begrüßung"" können Sie einen fertigen Text auswählen oder über das ""+"" eine eigene Ansage hinzufügen. • Telefonisch Wählen Sie von Ihrem Festnetz-Anschluss. Sie können sich über den Erhalt einer neuen Nachricht auf Ihrer SprachBox per Anruf und SMS informieren lassen. So können Sie die Einstellung vornehmen: • Telefoniecenter Loggen Sie sich im Telefoniecenter mit dem Telekom Login ein und wählen Sie die entsprechende Rufnummer. Klicken Sie auf ""Weiter"".",multi_context,"[{}, {}]",True
What sports options are available on MagentaSport?,"['### Key Features Highlighted:\n- The content includes options for live sports and on-demand viewing.\n- Users can experience unique live sports offerings and highlights.\n- The layout displays various highlights and additional packages available.\n\nThis summary captures the essential navigation steps and features related to accessing sports content on the device.\nThe image appears to be an informational page regarding MagentaSport, a service offered by Telekom for streaming live sports content. Here', '### Key Features Highlighted:\n- The content includes options for live sports and on-demand viewing.\n- Users can experience unique live sports offerings and highlights.\n- The layout displays various highlights and additional packages available.\n\nThis summary captures the essential navigation steps and features related to accessing sports content on the device.\nThe image appears to be an informational page regarding MagentaSport, a service offered by Telekom for streaming live sports content. Here']",The answer to given question is not present in context,multi_context,"[{}, {}]",True
"Wie viel Rabatt gibt's für Telekom-Kunden mit Magenta 1 auf die Hauptkarte, und wie wirkt sich die Anzahl der Personen im Vertrag auf die Kosten der Magenta-Mobil-Plus-Karten aus?","['Question:\nBasierend auf dem Magenta 1 Vorteil, wie viel kann ich monatlich bei meiner Mobilfunk Hauptkarte sparen?\n\nAnswer:\nMit dem Magenta 1 Vorteil der Telekom können sowohl individuelle Kunden als auch ihre Familien sparen. Wenn Sie sowohl Mobilfunk- als auch Festnetzkunde sind, erhalten Sie einen monatlichen Rabatt von 5 Euro auf Ihre Haupt-Mobilfunk-Karte. Sie können Ihre Familie und Freunde in Ihren Mobilfunkvertrag aufnehmen, wobei die ersten und folgenden Magenta-Mobil-Plus-Karten monatl', 'in Ihren Mobilfunkvertrag aufnehmen, wobei die ersten und folgenden Magenta-Mobil-Plus-Karten monatlich jeweils 19,95 Euro kosten. Je mehr Personen dem Vertrag beitreten, desto günstiger wird es insgesamt. Ein weiterer Vorteil des Magenta 1 Vorteils liegt in der Verdopplung des Datenvolumens für jede Haupt- und zusätzliche Magenta-Mobil-Plus-Karte. Beim Tarif Magenta-Mobil-L wird aus ursprünglichen 40 Gigabyte nicht nur 80, sondern unbegrenztes Datenvolumen. Zusätzlich erhalten alle Kunden eine']","Telekom-Kunden mit Magenta 1 erhalten einen monatlichen Rabatt von 5 Euro auf ihre Haupt-Mobilfunk-Karte. Die Kosten für die ersten und folgenden Magenta-Mobil-Plus-Karten betragen jeweils 19,95 Euro, und je mehr Personen dem Vertrag beitreten, desto günstiger wird es insgesamt.",multi_context,"[{}, {}]",True
